,Unnamed: 0,parameter,counts,counts_H,counts_NH,p_from_H,p_from_NH,priority
0,0,./Punctuation,52431,26334,26097,0.2927197954873847,0.2898665008107688,0.5022601132917549
1,1,영화/Noun,50383,25791,24592,0.2866844503723464,0.2731513361025345,0.5118988547724431
2,2,이/Josa,38256,20012,18244,0.22245192842058464,0.20264777094115816,0.5231074864073609
3,3,보다/Verb,38094,21677,16417,0.2409580971434923,0.18235633843488305,0.5690397437916732
4,4,하다/Verb,38002,18125,19877,0.20147827053462264,0.2207845576312224,0.5230514183464028
5,5,의/Josa,29457,17487,11970,0.19438701789485385,0.13296608098802729,0.593644974029942
6,6,가/Josa,27737,12332,15405,0.13709014115816384,0.17111663964104046,0.5553953203302447
7,7,에/Josa,27391,14054,13337,0.15622985439590975,0.14814855949710126,0.5130882406629915
8,8,../Punctuation,25849,11706,14143,0.13013226631099256,0.15710033541393634,0.547139154319316
9,9,을/Josa,23027,12500,10527,0.13895743025452928,0.11693951442724185,0.5428410127241934
10,10,.../Punctuation,22073,9139,12934,0.1016005335111704,0.14367267153868366,0.5859647533185339
11,11,은/Josa,19690,7739,11951,0.08603979104145826,0.1327550589750994,0.6069578466226511
12,12,도/Josa,18990,7903,11087,0.08786262087362454,0.12315911059774763,0.5838335966298052
13,13,들/Suffix,18507,8922,9585,0.09918861842836503,0.10647726515471244,0.5179121413519209
14,14,는/Josa,18035,7669,10366,0.08526175391797265,0.11515138052822142,0.5747712780704186
15,15,없다/Adjective,16914,5001,11913,0.05560742469712127,0.13233301494924365,0.7043277758070238
16,16,를/Josa,16639,8276,8363,0.09200844726019784,0.0929052177969302,0.5026143398040748
17,17,",/Punctuation",14719,7561,7158,0.08406135378459488,0.0795219796086097,0.513689788708472
18,18,있다/Adjective,13419,8187,5232,0.09101922863176616,0.05813101135076301,0.6101050748938073
19,19,좋다/Adjective,13043,9370,3673,0.10416805601867288,0.040816099868944224,0.7183930077436173
20,20,이/Determiner,12373,4495,7878,0.04998332777592531,0.08751860325640286,0.6367089630647378
21,21,너무/Adverb,11905,6629,5276,0.0737023452261865,0.05861969390701704,0.55682486350273
22,22,재밌다/Adjective,11789,9955,1834,0.1106702234078026,0.020391390301872543,0.8444312494698448
23,23,?/Punctuation,11319,3302,8017,0.03672335222852062,0.08906239587729625,0.7082781164413817
24,24,정말/Noun,10702,7082,3620,0.07873735689674335,0.04022745951709279,0.6617454681367969
25,25,것/Noun,10293,4088,6205,0.045459597643659005,0.06893755969701681,0.6028368794326241
26,26,되다/Verb,9887,5453,4434,0.06063132155162833,0.04926808680779226,0.5515323151613231
27,27,같다/Adjective,9325,4691,4634,0.05216183172168501,0.051489371154401484,0.5030563002680966
28,28,진짜/Noun,9220,4526,4694,0.05032788707346893,0.05215575645838424,0.5091106290672451
29,29,이/Noun,9081,4359,4722,0.048471712793153265,0.05246673626690953,0.5199867855963
30,30,적/Suffix,9003,5486,3517,0.06099811048127154,0.03908349807858904,0.6093524380761969
31,31,으로/Josa,8921,4168,4753,0.046348782927642544,0.052811035340633965,0.5327878040578411
32,32,아니다/Adjective,8754,3210,5544,0.035700789151939534,0.061596214931473374,0.6333104866346813
33,33,않다/Verb,8640,4350,4290,0.048371679448705115,0.04766876207823363,0.5034722222222222
34,34,!/Punctuation,8565,6415,2150,0.07132377459153051,0.02390101956951509,0.7489784004670169
35,35,로/Josa,7951,3351,4600,0.037267978214960536,0.05111175281547791,0.5785435794239718
36,36,에서/Josa,7910,4218,3692,0.04690452373013226,0.041027121881872096,0.5332490518331227
37,37,점/Noun,7843,3227,4616,0.03588974102478604,0.05128945556320665,0.5885502996302435
38,38,만/Josa,7745,2412,5333,0.026831165944203626,0.05925275994580066,0.6885732730794061
39,39,나오다/Verb,7213,2894,4319,0.03218850728020451,0.04799084830849197,0.5987799805906003
40,40,만들다/Verb,7199,2506,4693,0.02787595865288429,0.05214465003665119,0.6518960966800944
41,41,연기/Noun,7089,4106,2983,0.0456596643325553,0.03315266887314245,0.5792072224573283
42,42,평점/Noun,7068,2994,4074,0.03329998888518395,0.045269774983895686,0.5764006791171478
43,43,과/Josa,6768,4231,2537,0.0470490163387796,0.028199204780203917,0.6251477541371159
44,44,최고/Noun,6671,6143,528,0.06830054462598642,0.005886403518514404,0.9208514465597362
45,45,한/Josa,6635,3102,3533,0.034500389018561735,0.039261200826317774,0.5324792765636774
46,46,이다/Verb,6524,4043,2481,0.04495943092141825,0.02757724516315333,0.6197118332311465
47,47,왜/Noun,6247,2241,4006,0.024930532399688784,0.04451453830604856,0.6412678085481031
48,48,스토리/Noun,6075,2176,3899,0.02420806935645215,0.04332615118061263,0.6418106995884774
49,49,인/Josa,6018,3216,2802,0.0357674780482383,0.03114240653946112,0.5343968095712861
50,50,생각/Noun,6005,3771,2234,0.04193620095587418,0.02483395899509096,0.6279766860949209
51,51,~/Punctuation,6003,4016,1987,0.0446593308880738,0.022090672827028587,0.6689988339163752
52,52,다/Josa,5815,2885,2930,0.03208847393575636,0.03256402852129101,0.5038693035253654
53,53,다/Adverb,5790,2454,3336,0.027297988218294992,0.037073235744907715,0.5761658031088083
54,54,이다/Josa,5692,2965,2727,0.03297765921973991,0.03030942490948266,0.5209065354884048
55,55,감동/Noun,5597,4442,1155,0.049394242525286215,0.012850129945134276,0.7936394497051992
56,56,..../Punctuation,5580,2218,3362,0.024674891630543514,0.0373620027099669,0.6025089605734767
57,57,1/Number,5284,1409,3875,0.015683005446259866,0.043059597059019517,0.7333459500378501
58,58,사람/Noun,5259,2583,2676,0.028731799488718464,0.02974299740109732,0.5088419851682829
59,59,이렇다/Adjective,5240,2243,2997,0.02495276203178837,0.033308158777405096,0.5719465648854962
60,60,보고/Noun,5209,3038,2171,0.0337890407913749,0.024134254425909062,0.5832213476674986
61,61,말/Noun,5179,2468,2711,0.027453595642992108,0.030131722161753926,0.5234601274377293
62,62,아깝다/Adjective,5167,374,4793,0.004179170834722685,0.0532552922099558,0.9276175730598026
63,63,더/Noun,5026,2595,2431,0.028865177281315994,0.027021924076501037,0.5163151611619579
64,64,드라마/Noun,5005,3017,1988,0.03355562965432922,0.022101779248761638,0.6027972027972028
65,65,내/Noun,4988,2441,2547,0.027153495609647662,0.028310268997534374,0.510625501202887
66,66,때/Noun,4940,3220,1720,0.03581193731243748,0.01912525822430529,0.6518218623481782
67,67,배우/Noun,4882,2357,2525,0.026219851061464933,0.02806592771940736,0.5172060630888979
68,68,ㅋㅋㅋ/KoreanParticle,4833,2528,2305,0.028120484605979768,0.02562251493813723,0.5230705565901097
69,69,재미있다/Adjective,4787,4102,685,0.04561520506835612,0.007630111730602634,0.8569041153123041
70,70,거/Noun,4783,1959,2824,0.02179615427364677,0.03138674781758813,0.5904244198201966
71,71,와/Josa,4779,2774,2005,0.03085472935422919,0.022290588418223414,0.5804561623770663
72,72,감독/Noun,4688,1515,3173,0.016861175947538068,0.0352628890024212,0.6768344709897611
73,73,ㅋㅋ/KoreanParticle,4594,2777,1817,0.03088807380237857,0.02020258113241076,0.6044841097083152
74,74,재미/Noun,4538,1752,2786,0.01949538735133934,0.03096470379173238,0.6139268400176289
75,75,내용/Noun,4529,1407,3122,0.015660775814160276,0.03469646149403585,0.6893353941267388
76,76,뭐/Noun,4491,831,3660,0.009258641769478715,0.04067171638641463,0.8149632598530394
77,77,못/VerbPrefix,4418,1474,2944,0.0164054684894965,0.032719518425553665,0.666364870982345
78,78,그냥/Noun,4406,1187,3219,0.013215516283205513,0.035773784402141316,0.7305946436677259
79,79,고/Josa,4377,1761,2616,0.019595420695787485,0.02907661209711455,0.5976696367374914
80,80,까지/Josa,4353,2076,2277,0.023096587751472712,0.025311535129611942,0.5230875258442453
81,81,게/Josa,4340,1723,2617,0.0191730576858953,0.0290877185188476,0.6029953917050691
82,82,주다/Verb,4321,1728,2593,0.01922863176614427,0.028821164397254493,0.6000925711640824
83,83,안/VerbPrefix,4262,1318,2944,0.014671557185728575,0.032719518425553665,0.6907555138432661
84,84,재미없다/Adjective,4205,307,3898,0.0034344781593864623,0.04331504475887958,0.9269916765755052
85,85,자다/Verb,4114,2658,1456,0.029565410692453036,0.01619316288678114,0.6460865337870686
86,86,좀/Noun,4111,1455,2656,0.0161942869845504,0.029520868966436395,0.6460715154463634
87,87,그/Noun,4099,2400,1699,0.02669778815160609,0.018892023367911327,0.5855086606489388
88,88,지루하다/Adjective,4057,872,3185,0.009714349227520284,0.03539616606321775,0.7850628543258565
89,89,하고/Josa,4024,1896,2128,0.021095920862509724,0.02365667829138808,0.5288270377733598
90,90,가다/Verb,4006,1941,2065,0.021596087584750474,0.022956973722206182,0.5154767848227658
91,91,!!/Punctuation,4005,3088,917,0.03434478159386462,0.010206801572669318,0.7710362047440699
