x,cnt
-3.000000,20011
-2.900000,19981
-2.800000,19995
-2.700000,20016
-2.600000,20022
-2.500000,19976
-2.400000,19979
-2.300000,20026
-2.200000,20016
-2.100000,19973
-2.000000,19987
-1.900000,20021
-1.800000,19996
-1.700000,19990
-1.600000,19991
-1.500000,20027
-1.400000,19974
-1.300000,20000
-1.200000,19981
-1.100000,20029
-1.000000,19972
-0.900000,20016
-0.800000,20008
-0.700000,20009
-0.600000,19963
-0.500000,19997
-0.400000,20026
-0.300000,20009
-0.200000,19988
-0.100000,19986
0.000000,20045
0.100000,20009
0.200000,19988
0.300000,19972
0.400000,20042
0.500000,19990
0.600000,19996
0.700000,19985
0.800000,20030
0.900000,19966
1.000000,20020
1.100000,19979
1.200000,20021
1.300000,19976
1.400000,20020
1.500000,20001
1.600000,19994
1.700000,19983
1.800000,20009
1.900000,20009
