x,cnt
-6.500000,24
-6.380000,30
-6.260000,16
-6.140000,37
-6.020000,36
-5.900000,57
-5.780000,59
-5.660000,84
-5.540000,117
-5.420000,166
-5.300000,231
-5.180000,280
-5.060000,372
-4.940000,514
-4.820000,550
-4.700000,642
-4.580000,955
-4.460000,999
-4.340000,1293
-4.220000,1664
-4.100000,2023
-3.980000,2418
-3.860000,2741
-3.740000,3400
-3.620000,3916
-3.500000,4554
-3.380000,5600
-3.260000,6217
-3.140000,7391
-3.020000,8424
-2.900000,9522
-2.780000,10749
-2.660000,11812
-2.540000,13634
-2.420000,15015
-2.300000,16073
-2.180000,17702
-2.060000,19088
-1.940000,20942
-1.820000,22722
-1.700000,23505
-1.580000,25621
-1.460000,26685
-1.340000,27759
-1.220000,29225
-1.100000,29707
-0.980000,30566
-0.860000,30872
-0.740000,32309
-0.620000,31887
-0.500000,32153
-0.380000,31674
-0.260000,31139
-0.140000,30473
-0.020000,29829
0.100000,29237
0.220000,27868
0.340000,26564
0.460000,25514
0.580000,23525
0.700000,22467
0.820000,20916
0.940000,19649
1.060000,17459
1.180000,16122
1.300000,15019
1.420000,13383
1.540000,11890
1.660000,10724
1.780000,9555
1.900000,8397
2.020000,7240
2.140000,6360
2.260000,5521
2.380000,4568
2.500000,4017
2.620000,3382
2.740000,2707
2.860000,2350
2.980000,2012
3.100000,1588
3.220000,1331
3.340000,1066
3.460000,880
3.580000,743
3.700000,551
3.820000,444
3.940000,376
4.060000,229
4.180000,191
4.300000,170
4.420000,158
4.540000,80
4.660000,65
4.780000,50
4.900000,41
5.020000,40
5.140000,32
5.260000,28
5.380000,18
