x,cnt
-3.000000,10024
-2.950000,10004
-2.900000,10013
-2.850000,9987
-2.800000,9979
-2.750000,10018
-2.700000,9995
-2.650000,9983
-2.600000,10013
-2.550000,10015
-2.500000,9996
-2.450000,9996
-2.400000,9976
-2.350000,10020
-2.300000,9984
-2.250000,10003
-2.200000,10017
-2.150000,10020
-2.100000,9986
-2.050000,10000
-2.000000,9978
-1.950000,10010
-1.900000,9995
-1.850000,10003
-1.800000,10008
-1.750000,10010
-1.700000,10001
-1.650000,9986
-1.600000,10008
-1.550000,9994
-1.500000,9980
-1.450000,10027
-1.400000,10006
-1.350000,10010
-1.300000,10014
-1.250000,9971
-1.200000,10011
-1.150000,9998
-1.100000,9973
-1.050000,10022
-1.000000,10007
-0.950000,9986
-0.900000,10009
-0.850000,9976
-0.800000,10014
-0.750000,9984
-0.700000,9995
-0.650000,10008
-0.600000,10025
-0.550000,10010
-0.500000,9967
-0.450000,10000
-0.400000,10014
-0.350000,9977
-0.300000,10006
-0.250000,10010
-0.200000,10014
-0.150000,9996
-0.100000,9979
-0.050000,10009
0.000000,10002
0.050000,9976
0.100000,10016
0.150000,10019
0.200000,10021
0.250000,9982
0.300000,9983
0.350000,10007
0.400000,9996
0.450000,9994
0.500000,10016
0.550000,10027
0.600000,9999
0.650000,9983
0.700000,9988
0.750000,10022
0.800000,9972
0.850000,10008
0.900000,10009
0.950000,10035
1.000000,9989
1.050000,9982
1.100000,9999
1.150000,10007
1.200000,9958
1.250000,10029
1.300000,10011
1.350000,10005
1.400000,9993
1.450000,9967
1.500000,10026
1.550000,9986
1.600000,9996
1.650000,10005
1.700000,10023
1.750000,9985
1.800000,10004
1.850000,9972
1.900000,10022
1.950000,9966
