x,cnt
-3.000000,210
-2.900000,207
-2.800000,197
-2.700000,207
-2.600000,174
-2.500000,221
-2.400000,186
-2.300000,216
-2.200000,198
-2.100000,202
-2.000000,205
-1.900000,191
-1.800000,204
-1.700000,199
-1.600000,204
-1.500000,187
-1.400000,204
-1.300000,201
-1.200000,208
-1.100000,181
-1.000000,206
-0.900000,213
-0.800000,193
-0.700000,186
-0.600000,208
-0.500000,194
-0.400000,203
-0.300000,194
-0.200000,209
-0.100000,199
0.000000,194
0.100000,207
0.200000,197
0.300000,193
0.400000,206
0.500000,197
0.600000,207
0.700000,201
0.800000,190
0.900000,198
1.000000,206
1.100000,185
1.200000,192
1.300000,203
1.400000,210
1.500000,203
1.600000,187
1.700000,213
1.800000,208
1.900000,196
