x,cnt
-6.500000,0
-6.380000,0
-6.260000,0
-6.140000,0
-6.020000,0
-5.900000,0
-5.780000,0
-5.660000,0
-5.540000,0
-5.420000,0
-5.300000,0
-5.180000,0
-5.060000,1
-4.940000,0
-4.820000,0
-4.700000,0
-4.580000,0
-4.460000,0
-4.340000,0
-4.220000,1
-4.100000,0
-3.980000,0
-3.860000,1
-3.740000,0
-3.620000,0
-3.500000,0
-3.380000,2
-3.260000,0
-3.140000,0
-3.020000,0
-2.900000,0
-2.780000,2
-2.660000,2
-2.540000,1
-2.420000,2
-2.300000,1
-2.180000,3
-2.060000,1
-1.940000,4
-1.820000,2
-1.700000,5
-1.580000,2
-1.460000,0
-1.340000,2
-1.220000,1
-1.100000,4
-0.980000,2
-0.860000,2
-0.740000,5
-0.620000,7
-0.500000,4
-0.380000,1
-0.260000,2
-0.140000,2
-0.020000,6
0.100000,5
0.220000,2
0.340000,3
0.460000,1
0.580000,4
0.700000,0
0.820000,1
0.940000,3
1.060000,1
1.180000,1
1.300000,2
1.420000,1
1.540000,1
1.660000,0
1.780000,1
1.900000,1
2.020000,0
2.140000,2
2.260000,1
2.380000,0
2.500000,1
2.620000,0
2.740000,0
2.860000,0
2.980000,1
3.100000,0
3.220000,0
3.340000,0
3.460000,0
3.580000,0
3.700000,0
3.820000,0
3.940000,0
4.060000,0
4.180000,0
4.300000,0
4.420000,0
4.540000,0
4.660000,0
4.780000,0
4.900000,0
5.020000,0
5.140000,0
5.260000,0
5.380000,0
