x,cnt
-6.500000,47
-6.260000,50
-6.020000,78
-5.780000,143
-5.540000,279
-5.300000,480
-5.060000,900
-4.820000,1205
-4.580000,1959
-4.340000,2974
-4.100000,4467
-3.860000,6081
-3.620000,8515
-3.380000,11783
-3.140000,15701
-2.900000,20331
-2.660000,25342
-2.420000,30954
-2.180000,36844
-1.940000,43706
-1.700000,49103
-1.460000,54404
-1.220000,58803
-0.980000,61199
-0.740000,64551
-0.500000,63888
-0.260000,61956
-0.020000,58652
0.220000,54722
0.460000,49183
0.700000,43310
0.940000,37044
1.180000,31208
1.420000,25295
1.660000,20239
1.900000,15685
2.140000,11931
2.380000,8614
2.620000,6009
2.860000,4307
3.100000,2832
3.340000,2036
3.580000,1300
3.820000,786
4.060000,446
4.300000,323
4.540000,138
4.780000,85
5.020000,66
5.260000,46
