x,cnt
-6.500000,0
-6.260000,0
-6.020000,0
-5.780000,0
-5.540000,0
-5.300000,0
-5.060000,0
-4.820000,0
-4.580000,0
-4.340000,0
-4.100000,0
-3.860000,1
-3.620000,0
-3.380000,0
-3.140000,3
-2.900000,5
-2.660000,2
-2.420000,2
-2.180000,6
-1.940000,4
-1.700000,3
-1.460000,15
-1.220000,2
-0.980000,8
-0.740000,3
-0.500000,9
-0.260000,4
-0.020000,8
0.220000,1
0.460000,8
0.700000,1
0.940000,3
1.180000,4
1.420000,2
1.660000,0
1.900000,1
2.140000,1
2.380000,2
2.620000,1
2.860000,0
3.100000,0
3.340000,1
3.580000,0
3.820000,0
4.060000,0
4.300000,0
4.540000,0
4.780000,0
5.020000,0
5.260000,0
