x,cnt
-6.500000,0
-6.380000,0
-6.260000,0
-6.140000,0
-6.020000,0
-5.900000,0
-5.780000,0
-5.660000,4
-5.540000,2
-5.420000,0
-5.300000,1
-5.180000,2
-5.060000,10
-4.940000,2
-4.820000,4
-4.700000,11
-4.580000,4
-4.460000,10
-4.340000,15
-4.220000,17
-4.100000,20
-3.980000,29
-3.860000,28
-3.740000,32
-3.620000,43
-3.500000,48
-3.380000,46
-3.260000,67
-3.140000,76
-3.020000,73
-2.900000,94
-2.780000,116
-2.660000,124
-2.540000,144
-2.420000,171
-2.300000,154
-2.180000,187
-2.060000,191
-1.940000,208
-1.820000,233
-1.700000,246
-1.580000,240
-1.460000,255
-1.340000,266
-1.220000,262
-1.100000,299
-0.980000,273
-0.860000,331
-0.740000,353
-0.620000,340
-0.500000,302
-0.380000,313
-0.260000,310
-0.140000,301
-0.020000,301
0.100000,291
0.220000,280
0.340000,286
0.460000,260
0.580000,236
0.700000,211
0.820000,240
0.940000,196
1.060000,199
1.180000,135
1.300000,127
1.420000,138
1.540000,118
1.660000,93
1.780000,97
1.900000,84
2.020000,75
2.140000,71
2.260000,54
2.380000,44
2.500000,37
2.620000,34
2.740000,25
2.860000,19
2.980000,9
3.100000,9
3.220000,13
3.340000,13
3.460000,9
3.580000,15
3.700000,4
3.820000,4
3.940000,6
4.060000,2
4.180000,3
4.300000,2
4.420000,0
4.540000,0
4.660000,1
4.780000,0
4.900000,1
5.020000,0
5.140000,1
5.260000,0
5.380000,0
