x,cnt
-3.000000,3
-2.900000,3
-2.800000,0
-2.700000,0
-2.600000,1
-2.500000,2
-2.400000,3
-2.300000,1
-2.200000,1
-2.100000,2
-2.000000,3
-1.900000,1
-1.800000,1
-1.700000,3
-1.600000,3
-1.500000,1
-1.400000,3
-1.300000,4
-1.200000,1
-1.100000,3
-1.000000,2
-0.900000,5
-0.800000,4
-0.700000,3
-0.600000,4
-0.500000,2
-0.400000,1
-0.300000,2
-0.200000,0
-0.100000,2
0.000000,1
0.100000,4
0.200000,1
0.300000,4
0.400000,0
0.500000,1
0.600000,0
0.700000,3
0.800000,3
0.900000,1
1.000000,1
1.100000,4
1.200000,1
1.300000,5
1.400000,1
1.500000,1
1.600000,0
1.700000,0
1.800000,2
1.900000,3
