,x,cnt
0,-6.500000,0
1,-6.260000,1
2,-6.020000,0
3,-5.780000,2
4,-5.540000,2
5,-5.300000,6
6,-5.060000,6
7,-4.820000,6
8,-4.580000,9
9,-4.340000,22
10,-4.100000,33
11,-3.860000,53
12,-3.620000,59
13,-3.380000,103
14,-3.140000,146
15,-2.900000,208
16,-2.660000,244
17,-2.420000,255
18,-2.180000,355
19,-1.940000,387
20,-1.700000,498
21,-1.460000,498
22,-1.220000,561
23,-0.980000,626
24,-0.740000,618
25,-0.500000,633
26,-0.260000,606
27,-0.020000,606
28,0.220000,598
29,0.460000,511
30,0.700000,463
31,0.940000,392
32,1.180000,320
33,1.420000,285
34,1.660000,232
35,1.900000,190
36,2.140000,134
37,2.380000,92
38,2.620000,82
39,2.860000,49
40,3.100000,36
41,3.340000,25
42,3.580000,20
43,3.820000,10
44,4.060000,6
45,4.300000,5
46,4.540000,1
47,4.780000,2
48,5.020000,1
49,5.260000,3
50,5.500000,0
