,x,cnt
0,-3.000000,2
1,-2.900000,2
2,-2.800000,2
3,-2.700000,0
4,-2.600000,1
5,-2.500000,0
6,-2.400000,5
7,-2.300000,0
8,-2.200000,2
9,-2.100000,2
10,-2.000000,1
11,-1.900000,2
12,-1.800000,2
13,-1.700000,2
14,-1.600000,2
15,-1.500000,2
16,-1.400000,2
17,-1.300000,5
18,-1.200000,1
19,-1.100000,3
20,-1.000000,2
21,-0.900000,3
22,-0.800000,6
23,-0.700000,4
24,-0.600000,4
25,-0.500000,0
26,-0.400000,3
27,-0.300000,0
28,-0.200000,2
29,-0.100000,0
30,0.000000,2
31,0.100000,3
32,0.200000,2
33,0.300000,4
34,0.400000,1
35,0.500000,0
36,0.600000,1
37,0.700000,2
38,0.800000,2
39,0.900000,2
40,1.000000,2
41,1.100000,2
42,1.200000,2
43,1.300000,4
44,1.400000,3
45,1.500000,1
46,1.600000,0
47,1.700000,0
48,1.800000,1
49,1.900000,2
50,2.000000,2
