,x,cnt
0,-3.000000,106
1,-2.900000,196
2,-2.800000,211
3,-2.700000,205
4,-2.600000,196
5,-2.500000,189
6,-2.400000,197
7,-2.300000,215
8,-2.200000,191
9,-2.100000,207
10,-2.000000,196
11,-1.900000,202
12,-1.800000,201
13,-1.700000,201
14,-1.600000,197
15,-1.500000,198
16,-1.400000,205
17,-1.300000,214
18,-1.200000,185
19,-1.100000,202
20,-1.000000,187
21,-0.900000,217
22,-0.800000,205
23,-0.700000,191
24,-0.600000,190
25,-0.500000,202
26,-0.400000,205
27,-0.300000,185
28,-0.200000,199
29,-0.100000,210
30,0.000000,210
31,0.100000,190
32,0.200000,194
33,0.300000,202
34,0.400000,200
35,0.500000,198
36,0.600000,207
37,0.700000,200
38,0.800000,198
39,0.900000,192
40,1.000000,216
41,1.100000,180
42,1.200000,198
43,1.300000,196
44,1.400000,207
45,1.500000,202
46,1.600000,197
47,1.700000,197
48,1.800000,212
49,1.900000,216
50,2.000000,83
