,x,cnt
0,-6.500000,0
1,-6.380000,0
2,-6.260000,0
3,-6.140000,0
4,-6.020000,0
5,-5.900000,0
6,-5.780000,0
7,-5.660000,0
8,-5.540000,0
9,-5.420000,0
10,-5.300000,0
11,-5.180000,0
12,-5.060000,0
13,-4.940000,1
14,-4.820000,0
15,-4.700000,0
16,-4.580000,0
17,-4.460000,0
18,-4.340000,0
19,-4.220000,1
20,-4.100000,0
21,-3.980000,0
22,-3.860000,0
23,-3.740000,1
24,-3.620000,0
25,-3.500000,0
26,-3.380000,1
27,-3.260000,1
28,-3.140000,0
29,-3.020000,0
30,-2.900000,0
31,-2.780000,0
32,-2.660000,2
33,-2.540000,2
34,-2.420000,3
35,-2.300000,1
36,-2.180000,1
37,-2.060000,3
38,-1.940000,3
39,-1.820000,1
40,-1.700000,5
41,-1.580000,2
42,-1.460000,2
43,-1.340000,0
44,-1.220000,2
45,-1.100000,3
46,-0.980000,4
47,-0.860000,2
48,-0.740000,3
49,-0.620000,7
50,-0.500000,2
51,-0.380000,4
52,-0.260000,1
53,-0.140000,2
54,-0.020000,4
55,0.100000,6
56,0.220000,4
57,0.340000,3
58,0.460000,1
59,0.580000,4
60,0.700000,1
61,0.820000,1
62,0.940000,3
63,1.060000,1
64,1.180000,1
65,1.300000,1
66,1.420000,1
67,1.540000,2
68,1.660000,0
69,1.780000,0
70,1.900000,2
71,2.020000,0
72,2.140000,2
73,2.260000,1
74,2.380000,0
75,2.500000,0
76,2.620000,1
77,2.740000,0
78,2.860000,0
79,2.980000,0
80,3.100000,1
81,3.220000,0
82,3.340000,0
83,3.460000,0
84,3.580000,0
85,3.700000,0
86,3.820000,0
87,3.940000,0
88,4.060000,0
89,4.180000,0
90,4.300000,0
91,4.420000,0
92,4.540000,0
93,4.660000,0
94,4.780000,0
95,4.900000,0
96,5.020000,0
97,5.140000,0
98,5.260000,0
99,5.380000,0
100,5.500000,0
