,x,cnt
0,-6.500000,0
1,-6.260000,0
2,-6.020000,0
3,-5.780000,0
4,-5.540000,0
5,-5.300000,0
6,-5.060000,0
7,-4.820000,0
8,-4.580000,0
9,-4.340000,0
10,-4.100000,0
11,-3.860000,0
12,-3.620000,1
13,-3.380000,0
14,-3.140000,3
15,-2.900000,1
16,-2.660000,5
17,-2.420000,2
18,-2.180000,3
19,-1.940000,6
20,-1.700000,4
21,-1.460000,6
22,-1.220000,12
23,-0.980000,4
24,-0.740000,4
25,-0.500000,5
26,-0.260000,9
27,-0.020000,5
28,0.220000,5
29,0.460000,5
30,0.700000,4
31,0.940000,3
32,1.180000,3
33,1.420000,3
34,1.660000,1
35,1.900000,0
36,2.140000,2
37,2.380000,1
38,2.620000,2
39,2.860000,0
40,3.100000,0
41,3.340000,1
42,3.580000,0
43,3.820000,0
44,4.060000,0
45,4.300000,0
46,4.540000,0
47,4.780000,0
48,5.020000,0
49,5.260000,0
50,5.500000,0
