,x,cnt
0,-6.500000,0
1,-6.440000,0
2,-6.380000,0
3,-6.320000,0
4,-6.260000,0
5,-6.200000,0
6,-6.140000,0
7,-6.080000,0
8,-6.020000,0
9,-5.960000,0
10,-5.900000,0
11,-5.840000,0
12,-5.780000,0
13,-5.720000,0
14,-5.660000,0
15,-5.600000,0
16,-5.540000,0
17,-5.480000,0
18,-5.420000,0
19,-5.360000,0
20,-5.300000,0
21,-5.240000,0
22,-5.180000,0
23,-5.120000,0
24,-5.060000,0
25,-5.000000,0
26,-4.940000,0
27,-4.880000,0
28,-4.820000,0
29,-4.760000,0
30,-4.700000,0
31,-4.640000,0
32,-4.580000,0
33,-4.520000,0
34,-4.460000,0
35,-4.400000,0
36,-4.340000,0
37,-4.280000,0
38,-4.220000,0
39,-4.160000,0
40,-4.100000,0
41,-4.040000,0
42,-3.980000,0
43,-3.920000,0
44,-3.860000,0
45,-3.800000,0
46,-3.740000,0
47,-3.680000,0
48,-3.620000,1
49,-3.560000,0
50,-3.500000,0
51,-3.440000,0
52,-3.380000,0
53,-3.320000,1
54,-3.260000,0
55,-3.200000,0
56,-3.140000,2
57,-3.080000,0
58,-3.020000,1
59,-2.960000,0
60,-2.900000,0
61,-2.840000,1
62,-2.780000,0
63,-2.720000,0
64,-2.660000,1
65,-2.600000,2
66,-2.540000,1
67,-2.480000,1
68,-2.420000,1
69,-2.360000,1
70,-2.300000,1
71,-2.240000,0
72,-2.180000,1
73,-2.120000,0
74,-2.060000,1
75,-2.000000,0
76,-1.940000,2
77,-1.880000,0
78,-1.820000,0
79,-1.760000,0
80,-1.700000,2
81,-1.640000,4
82,-1.580000,1
83,-1.520000,0
84,-1.460000,1
85,-1.400000,1
86,-1.340000,2
87,-1.280000,1
88,-1.220000,2
89,-1.160000,1
90,-1.100000,0
91,-1.040000,1
92,-0.980000,0
93,-0.920000,2
94,-0.860000,0
95,-0.800000,0
96,-0.740000,0
97,-0.680000,1
98,-0.620000,2
99,-0.560000,1
100,-0.500000,2
101,-0.440000,1
102,-0.380000,3
103,-0.320000,1
104,-0.260000,1
105,-0.200000,4
106,-0.140000,2
107,-0.080000,2
108,-0.020000,4
109,0.040000,2
110,0.100000,2
111,0.160000,1
112,0.220000,0
113,0.280000,1
114,0.340000,0
115,0.400000,1
116,0.460000,2
117,0.520000,2
118,0.580000,2
119,0.640000,1
120,0.700000,1
121,0.760000,2
122,0.820000,2
123,0.880000,0
124,0.940000,1
125,1.000000,1
126,1.060000,3
127,1.120000,0
128,1.180000,0
129,1.240000,0
130,1.300000,2
131,1.360000,2
132,1.420000,0
133,1.480000,0
134,1.540000,1
135,1.600000,0
136,1.660000,1
137,1.720000,2
138,1.780000,0
139,1.840000,0
140,1.900000,1
141,1.960000,0
142,2.020000,1
143,2.080000,1
144,2.140000,0
145,2.200000,3
146,2.260000,0
147,2.320000,0
148,2.380000,1
149,2.440000,0
150,2.500000,0
151,2.560000,0
152,2.620000,0
153,2.680000,0
154,2.740000,0
155,2.800000,0
156,2.860000,0
157,2.920000,1
158,2.980000,0
159,3.040000,0
160,3.100000,0
161,3.160000,0
162,3.220000,0
163,3.280000,0
164,3.340000,0
165,3.400000,0
166,3.460000,0
167,3.520000,0
168,3.580000,0
169,3.640000,0
170,3.700000,0
171,3.760000,0
172,3.820000,0
173,3.880000,0
174,3.940000,0
175,4.000000,0
176,4.060000,0
177,4.120000,0
178,4.180000,0
179,4.240000,0
180,4.300000,0
181,4.360000,0
182,4.420000,0
183,4.480000,0
184,4.540000,0
185,4.600000,0
186,4.660000,0
187,4.720000,0
188,4.780000,0
189,4.840000,0
190,4.900000,0
191,4.960000,0
192,5.020000,0
193,5.080000,0
194,5.140000,0
195,5.200000,0
196,5.260000,0
197,5.320000,0
198,5.380000,0
199,5.440000,0
200,5.500000,0
