,x,cnt
0,-6.500000,12
1,-6.380000,25
2,-6.260000,27
3,-6.140000,13
4,-6.020000,42
5,-5.900000,48
6,-5.780000,56
7,-5.660000,70
8,-5.540000,119
9,-5.420000,119
10,-5.300000,200
11,-5.180000,238
12,-5.060000,325
13,-4.940000,455
14,-4.820000,543
15,-4.700000,579
16,-4.580000,847
17,-4.460000,933
18,-4.340000,1110
19,-4.220000,1462
20,-4.100000,1892
21,-3.980000,2208
22,-3.860000,2606
23,-3.740000,3006
24,-3.620000,3683
25,-3.500000,4223
26,-3.380000,4979
27,-3.260000,5826
28,-3.140000,6926
29,-3.020000,7841
30,-2.900000,9019
31,-2.780000,9994
32,-2.660000,11253
33,-2.540000,12842
34,-2.420000,14236
35,-2.300000,15507
36,-2.180000,16946
37,-2.060000,18528
38,-1.940000,19954
39,-1.820000,21946
40,-1.700000,22915
41,-1.580000,24628
42,-1.460000,26202
43,-1.340000,27020
44,-1.220000,28828
45,-1.100000,29320
46,-0.980000,30255
47,-0.860000,30675
48,-0.740000,31472
49,-0.620000,32421
50,-0.500000,31812
51,-0.380000,32157
52,-0.260000,31369
53,-0.140000,30832
54,-0.020000,29924
55,0.100000,29767
56,0.220000,28503
57,0.340000,27321
58,0.460000,26009
59,0.580000,24434
60,0.700000,23236
61,0.820000,21423
62,0.940000,20438
63,1.060000,18642
64,1.180000,16725
65,1.300000,15358
66,1.420000,14183
67,1.540000,12718
68,1.660000,11340
69,1.780000,10231
70,1.900000,8947
71,2.020000,7650
72,2.140000,6937
73,2.260000,5921
74,2.380000,4976
75,2.500000,4314
76,2.620000,3716
77,2.740000,3004
78,2.860000,2554
79,2.980000,2160
80,3.100000,1772
81,3.220000,1428
82,3.340000,1208
83,3.460000,980
84,3.580000,788
85,3.700000,652
86,3.820000,502
87,3.940000,432
88,4.060000,257
89,4.180000,230
90,4.300000,195
91,4.420000,153
92,4.540000,108
93,4.660000,77
94,4.780000,63
95,4.900000,42
96,5.020000,41
97,5.140000,40
98,5.260000,26
99,5.380000,22
100,5.500000,9
