,x,cnt
0,-3.000000,0
1,-2.950000,0
2,-2.900000,1
3,-2.850000,2
4,-2.800000,0
5,-2.750000,0
6,-2.700000,0
7,-2.650000,2
8,-2.600000,2
9,-2.550000,2
10,-2.500000,2
11,-2.450000,2
12,-2.400000,2
13,-2.350000,0
14,-2.300000,1
15,-2.250000,0
16,-2.200000,0
17,-2.150000,2
18,-2.100000,2
19,-2.050000,2
20,-2.000000,0
21,-1.950000,0
22,-1.900000,2
23,-1.850000,0
24,-1.800000,0
25,-1.750000,0
26,-1.700000,3
27,-1.650000,1
28,-1.600000,1
29,-1.550000,1
30,-1.500000,1
31,-1.450000,1
32,-1.400000,2
33,-1.350000,0
34,-1.300000,2
35,-1.250000,3
36,-1.200000,1
37,-1.150000,0
38,-1.100000,2
39,-1.050000,1
40,-1.000000,2
41,-0.950000,1
42,-0.900000,1
43,-0.850000,0
44,-0.800000,2
45,-0.750000,1
46,-0.700000,0
47,-0.650000,0
48,-0.600000,1
49,-0.550000,3
50,-0.500000,2
51,-0.450000,0
52,-0.400000,1
53,-0.350000,2
54,-0.300000,1
55,-0.250000,0
56,-0.200000,2
57,-0.150000,1
58,-0.100000,1
59,-0.050000,1
60,0.000000,0
61,0.050000,2
62,0.100000,0
63,0.150000,0
64,0.200000,2
65,0.250000,3
66,0.300000,2
67,0.350000,0
68,0.400000,0
69,0.450000,0
70,0.500000,3
71,0.550000,1
72,0.600000,0
73,0.650000,3
74,0.700000,1
75,0.750000,0
76,0.800000,1
77,0.850000,0
78,0.900000,1
79,0.950000,1
80,1.000000,0
81,1.050000,2
82,1.100000,0
83,1.150000,1
84,1.200000,1
85,1.250000,2
86,1.300000,0
87,1.350000,2
88,1.400000,0
89,1.450000,3
90,1.500000,0
91,1.550000,1
92,1.600000,0
93,1.650000,0
94,1.700000,0
95,1.750000,0
96,1.800000,1
97,1.850000,0
98,1.900000,1
99,1.950000,1
100,2.000000,0
