,x,cnt
0,-3.000000,10018
1,-2.900000,19982
2,-2.800000,20006
3,-2.700000,19996
4,-2.600000,20020
5,-2.500000,19967
6,-2.400000,20019
7,-2.300000,19984
8,-2.200000,20026
9,-2.100000,19969
10,-2.000000,19997
11,-1.900000,20002
12,-1.800000,20034
13,-1.700000,19959
14,-1.600000,20001
15,-1.500000,20011
16,-1.400000,20017
17,-1.300000,19964
18,-1.200000,19974
19,-1.100000,20028
20,-1.000000,20007
21,-0.900000,19989
22,-0.800000,19984
23,-0.700000,20048
24,-0.600000,19988
25,-0.500000,19987
26,-0.400000,19987
27,-0.300000,20047
28,-0.200000,19967
29,-0.100000,20021
30,0.000000,20004
31,0.100000,20024
32,0.200000,19961
33,0.300000,20000
34,0.400000,20012
35,0.500000,20008
36,0.600000,19971
37,0.700000,19999
38,0.800000,20027
39,0.900000,19997
40,1.000000,19995
41,1.100000,19986
42,1.200000,20019
43,1.300000,20010
44,1.400000,19985
45,1.500000,19988
46,1.600000,20025
47,1.700000,20007
48,1.800000,19977
49,1.900000,19998
50,2.000000,10008
