,x,cnt
0,-6.500000,0
1,-6.380000,0
2,-6.260000,0
3,-6.140000,0
4,-6.020000,0
5,-5.900000,0
6,-5.780000,0
7,-5.660000,1
8,-5.540000,4
9,-5.420000,1
10,-5.300000,0
11,-5.180000,2
12,-5.060000,6
13,-4.940000,7
14,-4.820000,3
15,-4.700000,5
16,-4.580000,9
17,-4.460000,7
18,-4.340000,16
19,-4.220000,15
20,-4.100000,20
21,-3.980000,23
22,-3.860000,24
23,-3.740000,31
24,-3.620000,40
25,-3.500000,44
26,-3.380000,44
27,-3.260000,51
28,-3.140000,86
29,-3.020000,65
30,-2.900000,74
31,-2.780000,119
32,-2.660000,113
33,-2.540000,142
34,-2.420000,151
35,-2.300000,161
36,-2.180000,175
37,-2.060000,197
38,-1.940000,175
39,-1.820000,223
40,-1.700000,252
41,-1.580000,242
42,-1.460000,250
43,-1.340000,250
44,-1.220000,283
45,-1.100000,285
46,-0.980000,283
47,-0.860000,298
48,-0.740000,340
49,-0.620000,361
50,-0.500000,307
51,-0.380000,304
52,-0.260000,299
53,-0.140000,309
54,-0.020000,294
55,0.100000,328
56,0.220000,273
57,0.340000,296
58,0.460000,258
59,0.580000,248
60,0.700000,214
61,0.820000,227
62,0.940000,228
63,1.060000,203
64,1.180000,168
65,1.300000,121
66,1.420000,148
67,1.540000,117
68,1.660000,101
69,1.780000,93
70,1.900000,94
71,2.020000,75
72,2.140000,72
73,2.260000,66
74,2.380000,49
75,2.500000,40
76,2.620000,36
77,2.740000,31
78,2.860000,20
79,2.980000,18
80,3.100000,7
81,3.220000,8
82,3.340000,19
83,3.460000,7
84,3.580000,13
85,3.700000,7
86,3.820000,5
87,3.940000,5
88,4.060000,5
89,4.180000,4
90,4.300000,1
91,4.420000,1
92,4.540000,0
93,4.660000,1
94,4.780000,0
95,4.900000,0
96,5.020000,1
97,5.140000,1
98,5.260000,0
99,5.380000,0
100,5.500000,0
