,x,cnt
0,-3.000000,0
1,-2.975000,0
2,-2.950000,1
3,-2.925000,0
4,-2.900000,1
5,-2.875000,1
6,-2.850000,0
7,-2.825000,0
8,-2.800000,1
9,-2.775000,2
10,-2.750000,0
11,-2.725000,0
12,-2.700000,1
13,-2.675000,0
14,-2.650000,0
15,-2.625000,0
16,-2.600000,0
17,-2.575000,0
18,-2.550000,0
19,-2.525000,1
20,-2.500000,0
21,-2.475000,0
22,-2.450000,0
23,-2.425000,1
24,-2.400000,0
25,-2.375000,0
26,-2.350000,0
27,-2.325000,1
28,-2.300000,1
29,-2.275000,0
30,-2.250000,0
31,-2.225000,2
32,-2.200000,0
33,-2.175000,1
34,-2.150000,0
35,-2.125000,0
36,-2.100000,0
37,-2.075000,1
38,-2.050000,0
39,-2.025000,1
40,-2.000000,1
41,-1.975000,3
42,-1.950000,1
43,-1.925000,0
44,-1.900000,0
45,-1.875000,0
46,-1.850000,1
47,-1.825000,0
48,-1.800000,1
49,-1.775000,2
50,-1.750000,2
51,-1.725000,0
52,-1.700000,0
53,-1.675000,2
54,-1.650000,1
55,-1.625000,0
56,-1.600000,1
57,-1.575000,2
58,-1.550000,0
59,-1.525000,2
60,-1.500000,0
61,-1.475000,1
62,-1.450000,2
63,-1.425000,0
64,-1.400000,0
65,-1.375000,0
66,-1.350000,1
67,-1.325000,0
68,-1.300000,0
69,-1.275000,0
70,-1.250000,2
71,-1.225000,1
72,-1.200000,0
73,-1.175000,0
74,-1.150000,1
75,-1.125000,1
76,-1.100000,0
77,-1.075000,0
78,-1.050000,0
79,-1.025000,0
80,-1.000000,0
81,-0.975000,1
82,-0.950000,0
83,-0.925000,1
84,-0.900000,1
85,-0.875000,1
86,-0.850000,0
87,-0.825000,0
88,-0.800000,0
89,-0.775000,1
90,-0.750000,1
91,-0.725000,1
92,-0.700000,0
93,-0.675000,2
94,-0.650000,0
95,-0.625000,1
96,-0.600000,0
97,-0.575000,2
98,-0.550000,0
99,-0.525000,0
100,-0.500000,1
101,-0.475000,2
102,-0.450000,0
103,-0.425000,1
104,-0.400000,0
105,-0.375000,0
106,-0.350000,0
107,-0.325000,0
108,-0.300000,0
109,-0.275000,0
110,-0.250000,0
111,-0.225000,2
112,-0.200000,0
113,-0.175000,1
114,-0.150000,0
115,-0.125000,0
116,-0.100000,0
117,-0.075000,0
118,-0.050000,0
119,-0.025000,1
120,0.000000,1
121,0.025000,0
122,0.050000,2
123,0.075000,1
124,0.100000,0
125,0.125000,0
126,0.150000,2
127,0.175000,0
128,0.200000,1
129,0.225000,1
130,0.250000,0
131,0.275000,0
132,0.300000,2
133,0.325000,0
134,0.350000,0
135,0.375000,2
136,0.400000,1
137,0.425000,0
138,0.450000,0
139,0.475000,1
140,0.500000,0
141,0.525000,0
142,0.550000,1
143,0.575000,0
144,0.600000,0
145,0.625000,0
146,0.650000,0
147,0.675000,1
148,0.700000,2
149,0.725000,0
150,0.750000,0
151,0.775000,0
152,0.800000,2
153,0.825000,0
154,0.850000,0
155,0.875000,0
156,0.900000,0
157,0.925000,0
158,0.950000,0
159,0.975000,1
160,1.000000,0
161,1.025000,0
162,1.050000,0
163,1.075000,0
164,1.100000,1
165,1.125000,1
166,1.150000,0
167,1.175000,0
168,1.200000,0
169,1.225000,0
170,1.250000,0
171,1.275000,0
172,1.300000,0
173,1.325000,2
174,1.350000,0
175,1.375000,0
176,1.400000,0
177,1.425000,1
178,1.450000,1
179,1.475000,0
180,1.500000,0
181,1.525000,0
182,1.550000,0
183,1.575000,2
184,1.600000,0
185,1.625000,1
186,1.650000,0
187,1.675000,1
188,1.700000,0
189,1.725000,0
190,1.750000,2
191,1.775000,0
192,1.800000,0
193,1.825000,0
194,1.850000,1
195,1.875000,1
196,1.900000,1
197,1.925000,0
198,1.950000,0
199,1.975000,0
200,2.000000,0
