,Unnamed: 0,parameter,counts,counts_H,counts_NH,p_from_H,p_from_NH,priority
0,15,없다/Adjective,16914,5001,11913,0.05558766645177067,0.13231668036519534,0.7043277758070238
1,19,좋다/Adjective,13043,9370,3673,0.10415045683925038,0.04079569940244796,0.7183930077436173
2,22,재밌다/Adjective,11789,9955,1834,0.11065291332281084,0.02037008241331053,0.8444312494698448
3,23,?/Punctuation,11319,3302,8017,0.036702754373874574,0.08904413888086722,0.7082781164413817
4,34,!/Punctuation,8565,6415,2150,0.07130471511459885,0.023879867605571228,0.7489784004670169
5,38,만/Josa,7745,2412,5333,0.026810128270680036,0.05923317857698202,0.6885732730794061
6,44,최고/Noun,6671,6143,528,0.06828135073249894,0.005864451207321679,0.9208514465597362
7,55,감동/Noun,5597,4442,1155,0.04937420803414623,0.012828487016016172,0.7936394497051992
8,57,1/Number,5284,1409,3875,0.015661472111686642,0.04303929626585512,0.7333459500378501
9,62,아깝다/Adjective,5167,374,4793,0.004157126025387369,0.053235444387675766,0.9276175730598026
10,69,재미있다/Adjective,4787,4102,685,0.04559500255652135,0.0076082368882866465,0.8569041153123041
11,72,감독/Noun,4688,1515,3173,0.016839694995887337,0.03524224181975698,0.6768344709897611
12,75,내용/Noun,4529,1407,3122,0.01563924149123002,0.0346757891463225,0.6893353941267388
13,76,뭐/Noun,4491,831,3660,0.009236822799724341,0.040651309505298,0.8149632598530394
14,78,그냥/Noun,4406,1187,3219,0.013193873241002156,0.03575315991736455,0.7305946436677259
15,83,안/VerbPrefix,4262,1318,2944,0.014649978880910566,0.032698758246884514,0.6907555138432661
16,84,재미없다/Adjective,4205,307,3898,0.003412400240090701,0.043294755314658914,0.9269916765755052
17,88,지루하다/Adjective,4057,872,3185,0.009692550519084988,0.03537552480174157,0.7850628543258565
18,91,!!/Punctuation,4005,3088,917,0.03432407798501656,0.010185041206655265,0.7710362047440699
19,92,시간/Noun,3956,1077,2879,0.011971189115888223,0.03197680876113468,0.7277553083923155
20,94,쓰레기/Noun,3739,209,3530,0.002323099837716471,0.03920741053379834,0.9441027012570206
21,105,다시/Noun,3289,2763,526,0.030711602160816313,0.005842237376990914,0.8400729705077531
22,107,마지막/Noun,3201,2151,1050,0.023909032301091523,0.011662260923651064,0.6719775070290535
23,109,사랑/Noun,3190,2523,667,0.028043927706022275,0.007408312415309772,0.7909090909090909
24,110,잘/VerbPrefix,3151,2150,1001,0.023897916990863216,0.011118022080547348,0.682323072040622
25,116,이다/Adjective,2942,2200,742,0.02445368250227864,0.00824133105271342,0.7477906186267845
26,124,안되다/Adjective,2683,658,2025,0.007313874130226975,0.022491503209898484,0.7547521431233694
27,131,지금/Noun,2596,1843,753,0.020485516750772512,0.00836350711953262,0.7099383667180277
28,132,ㅠㅠ/KoreanParticle,2589,1842,747,0.0204744014405442,0.00829686562854033,0.7114716106604867
29,133,최악/Noun,2549,32,2517,0.00035568992730587116,0.02795610547126641,0.9874460572773636
30,136,걸/Noun,2493,777,1716,0.008636596047395683,0.019059466423795454,0.6883273164861613
31,140,별로/Noun,2438,320,2118,0.003556899273058711,0.02352444632027901,0.8687448728465955
32,142,돈/Noun,2433,279,2154,0.003101171553698064,0.02392429526623276,0.8853267570900123
33,148,역시/Noun,2323,1623,700,0.01804014850054465,0.007774840615767376,0.6986655187257856
34,150,개/Noun,2277,671,1606,0.007458373163194984,0.01783770575560344,0.7053140096618358
35,151,명작/Noun,2259,1976,283,0.02196385301113754,0.0031432569918030968,0.8747233289065959
36,157,^^/Punctuation,2162,1921,241,0.021352510948580573,0.002676766554857054,0.8885291396854764
37,159,괜찮다/Adjective,2129,1444,685,0.016050507969677434,0.0076082368882866465,0.6782527007984971
38,160,ㅡㅡ/KoreanParticle,2128,211,1917,0.002345330458173088,0.02129195637203723,0.9008458646616542
39,163,버리다/Verb,2073,660,1413,0.00733610475068359,0.01569407112868472,0.6816208393632417
40,164,느끼다/Verb,2066,1442,624,0.016028277349220816,0.006930715063198347,0.6979670861568248
41,167,!!!/Punctuation,2038,1392,646,0.01547251183780539,0.00717506719683675,0.6830225711481845
42,170,해주다/Verb,1945,1324,621,0.014716670742280415,0.0068973943177022025,0.680719794344473
43,173,꼭/Noun,1920,1594,326,0.0177178045039237,0.003620854343914521,0.8302083333333333
44,177,아름답다/Adjective,1901,1659,242,0.01844029966876376,0.002687873470022436,0.8726985796948974
45,181,마음/Noun,1810,1497,313,0.016639619411777783,0.0034764644467645558,0.8270718232044199
